tic_id,n_sectors
150272447,31
150275360,31
149930946,31
309613894,31
309616959,31
141825369,31
350334336,31
176982916,31
177017653,31
141121236,31
150323113,31
149902203,31
141120940,31
141121044,31
382159195,31
260267208,31
350443140,31
141686804,31
176936043,31
176954865,31
176957781,31
176959341,31
350336548,31
350345319,31
350298314,31
179206253,31
179232118,31
179234597,31
260267665,31
260268711,31
260504446,31
150358991,31
141187570,31
260241479,31
179309196,31
293273032,31
287404510,31
176932113,31
350433143,31
350433903,31
350434130,31
149126796,31
149126810,31
260608510,31
260636592,31
142107219,31
141187075,31
141187126,31
149631035,31
150391195,31
150391436,31
150393049,31
375064476,31
375089600,31
350563306,31
350583319,31
350560036,31
350560804,31
176870098,31
149422364,31
350443172,31
350443250,31
350477233,31
149274312,31
287408257,31
287410832,31
287435694,31
293224419,31
149252670,31
179583882,31
382033261,31
150430044,31
375058335,31
375060694,31
149175936,31
260159741,31
260189643,31
142107759,31
142105158,31
150440079,31
150441800,31
150442152,31
149576413,31
375033759,31
350764517,31
350765777,31
350767497,31
141542585,31
350710135,31
350712255,31
350714599,31
167422005,31
149449888,31
350655910,31
350709221,31
231742789,31
231746897,31
149218100,31
141944911,31
141945470,31
278990983,31
280049258,31
149497924,31
167367512,31
260128839,31
149174494,31
277022714,31
374859785,31
374912335,31
373917936,31
149176503,31
142018464,31
278729421,31
278775625,31
278725797,31
142054159,31
142082467,31
149216532,31
278898462,31
278898692,31
278777620,31
278823382,31
167305895,31
149479510,31
374858885,31
167089959,31
373685196,31
149571930,31
167165793,31
149539058,31
149539552,31
370226095,31
370227221,31
372851407,31
167207566,31
167248795,31
141480176,31
141471105,31
141471357,31
358403148,31
41361147,31
41484615,31
150165740,31
150166465,31
40897656,31
41029088,31
41029133,31
41030714,31
41596872,31
425068672,31
41174274,31
41361145,31
260355054,31
260369147,31
260369469,31
734431102,31
735491690,31
734420265,30
425070148,30
150098542,30
150064525,30
150062502,30
425068767,30
425068409,30
260304296,30
149105764,30
150166091,30
150147985,30
150144415,30
41483281,30
150099218,30
735624005,30
260003467,30
364324991,30
141484055,30
167304933,30
372850999,30
364592454,30
167201539,30
167164775,30
141423416,30
373843125,30
373682056,30
373524217,30
141436215,30
167043194,30
149573096,30
141411713,30
350843318,30
350840554,30
350862618,30
167339970,30
167307093,30
167306154,30
278777358,30
278956474,30
149180088,30
278683209,30
278730265,30
278729415,30
278728951,30
149176080,30
260075943,30
260044425,30
278861557,30
141335100,30
374910243,30
374860204,30
149572666,30
167011368,30
149600376,30
276869906,30
277016043,30
260130844,30
260127258,30
149178462,30
167367237,30
167365789,30
279958047,30
279957111,30
231801661,30
231801630,30
231743280,30
350585437,30
141623174,30
141610012,30
149472907,30
149474387,30
375034743,30
150443296,30
150442748,30
150440755,30
142087638,30
260658693,30
260641304,30
261327765,30
142085641,30
261107064,30
260188633,30
260159562,30
141269217,30
375059949,30
375057127,30
375056762,30
382032874,30
375089653,30
350563225,30
167554181,30
167548586,30
167527244,30
179637327,30
179586885,30
179517557,30
179441174,30
293267910,30
350622565,30
350445771,30
350443648,30
176871588,30
350521162,30
350518984,30
141621534,30
375089268,30
382068562,30
260609205,30
141712654,30
176933645,30
176930969,30
176874136,30
293271918,30
293271686,30
293271232,30
179378612,30
179306195,30
260241997,30
260240161,30
260193210,30
260191777,30
141210949,30
382101148,30
150390327,30
150360599,30
382160135,30
260542038,30
179243599,30
179116917,30
350298948,30
350335330,30
260266449,30
260244471,30
260244435,30
149154821,30
382157129,30
141128773,30
149902366,30
150357424,30
382245976,30
350274840,30
149348079,30
176960818,30
141754291,30
141751744,30
141828072,30
309616139,30
309615082,30
141871569,30
141870831,30
149930673,30
150299840,30
260474818,30
260472262,30
149105052,30
260297096,30
260269838,30
177254302,30
149346752,30
177242528,30
149349037,30
309658984,30
309658221,30
179039934,30
149305070,30
31266926,30
389323816,30
150271420,30
150191258,30
389925842,30
389672830,30
389625539,30
141026267,30
41587424,30
41530565,30
150110391,30
150105372,30
150101616,30
150101501,30
309754992,30
309704722,30
141810929,30
141809359,30
348839533,30
141805944,30
404798700,30
150187373,30
150167643,30
41031598,30
260354344,30
142146051,30
142144594,30
149060586,30
764850011,30
735873292,30
765419968,30
149601768,29
149630754,29
149601156,29
150430404,29
150429807,29
149629077,29
150250788,29
260654610,29
142106374,29
142110261,29
150030250,29
41226621,29
40895175,29
40806371,29
40795195,29
40717315,29
425067154,29
150029275,29
41487605,29
150361737,29
167250176,29
167248140,29
167247946,29
150065109,29
150063627,29
404763926,29
142109251,29
260472456,29
142148228,29
150250617,29
277172433,29
277103955,29
276866031,29
167343976,29
167342488,29
167339633,29
167338863,29
389923735,29
389570470,29
389501533,29
389368692,29
150361768,29
260239455,29
260239338,29
278862747,29
278822707,29
142014655,29
141913487,29
280865190,29
382265989,29
141097027,29
141096229,29
382199661,29
382189542,29
149477100,29
149474107,29
149902411,29
167363687,29
167344359,29
279957325,29
278988794,29
260189849,29
150298300,29
260162199,29
260161111,29
260128434,29
260127863,29
260075032,29
149215510,29
375034551,29
150357290,29
167554037,29
167418898,29
149479101,29
257721425,29
257720864,29
150187908,29
309658086,29
293271518,29
293271134,29
293269165,29
293267933,29
350345393,29
150167117,29
150167002,29
149420896,29
176953878,29
150107539,29
373985424,29
373846934,29
141127435,29
141126397,29
150100627,29
382147200,29
350343101,29
350342601,29
350331875,29
348843330,29
149219376,29
231799463,29
231743104,29
149253686,29
179438406,29
141435816,29
141428309,29
372908431,29
372851851,29
370228189,29
176985618,29
176985564,29
176984144,29
176958810,29
176957187,29
176956893,29
364591796,29
141480937,29
350954417,29
350930008,29
373843872,29
150141418,29
373604254,29
149274367,29
350522226,29
141628215,29
350479646,29
350445762,29
150150734,29
350743714,29
350622888,29
177253136,29
177016680,29
350859255,29
350857733,29
350842386,29
350820735,29
350764186,29
370227488,29
350619941,29
350584820,29
141626895,29
150320712,29
150320456,29
179208877,29
179124163,29
179040607,29
149304495,29
765341472,29
737562486,29
735788153,29
502275327,29
150438041,29
150437932,29
150437346,29
41364284,29
41338480,29
41258782,29
167089585,29
167046661,29
167010763,29
166969346,29
150513591,29
150442841,28
150513194,28
166974030,28
167042979,28
150390543,28
41359534,28
41463058,28
41463262,28
425084965,28
425086260,28
425086652,28
733030384,28
734555437,28
737292010,28
737318518,28
737365188,28
765419449,28
179038240,28
179125917,28
150319968,28
350584005,28
141621158,28
141624136,28
350622185,28
370227778,28
141606660,28
350763445,28
350765589,28
350822166,28
350840907,28
176986215,28
149308175,28
350742718,28
150163695,28
350477495,28
350479101,28
141680055,28
150165735,28
350562128,28
179308939,28
373531782,28
373598194,28
350929582,28
141482983,28
358402475,28
364323767,28
364323837,28
364324070,28
149988107,28
176959701,28
149351776,28
150322161,28
372850543,28
373431205,28
179442778,28
149248932,28
231744384,28
257720478,28
31383649,28
31602748,28
348839116,28
373845622,28
374829238,28
374858839,28
141407088,28
374862339,28
375032207,28
176936142,28
149988068,28
141912291,28
293347563,28
309702890,28
31315185,28
167418903,28
167419169,28
167526639,28
149444106,28
149449385,28
167571315,28
149423851,28
375034482,28
375037368,28
141270589,28
382069441,28
149178649,28
260160482,28
260165092,28
279949281,28
279951435,28
279957399,28
167368442,28
167368443,28
149475559,28
382200986,28
382246883,28
149990841,28
141913551,28
287400661,28
142014831,28
278777880,28
141978023,28
278897868,28
278899969,28
260353074,28
149059584,28
389499588,28
141000877,28
141024724,28
389792790,28
389925522,28
150065244,28
149502950,28
260355291,28
260355953,28
276934414,28
277024372,28
277176342,28
277300045,28
260476400,28
260476635,28
260503914,28
41232189,28
391887389,28
404850274,28
404852431,28
404854454,28
167168632,28
167206326,28
167207589,28
167250266,28
41464526,28
41464899,28
150031443,28
407633895,28
40893005,28
41168549,28
41227922,28
260709282,28
261059311,28
276793644,28
276860175,28
150394361,28
150432079,28
425086354,27
425085294,27
150427790,27
149601126,27
270503901,27
276860194,27
142081674,27
142084306,27
260474194,27
142148587,27
260638705,27
260540380,27
150272131,27
260657291,27
261237085,27
261327578,27
278901079,27
150245438,27
260239481,27
149126806,27
150273301,27
260368982,27
260418055,27
276863576,27
150245430,27
260300211,27
149349867,27
150146216,27
350841707,27
150139182,27
150141471,27
364323133,27
141827953,27
293223588,27
31531129,27
150167420,27
179575202,27
179638852,27
149914338,27
31529985,27
350561161,27
279952991,27
260045033,27
149180076,27
150185574,27
260189000,27
287400402,27
278898255,27
150389853,27
41256240,27
41107892,27
41529307,27
407662961,27
40603990,27
41230564,27
389865251,27
149542119,27
391949001,27
404768964,27
167120830,27
167125515,27
167125519,27
391745744,27
391745571,27
389328965,27
382200946,27
382245852,27
167549709,27
167603080,27
176872638,27
150144933,27
141531768,27
141622065,27
177240597,27
150164445,27
350709413,27
141547396,27
350477270,27
